     CLASS    TP    FP    FN            PREC             REC              F1
         1    98    33    29       0.7480916       0.7716535       0.7596899
         2    36     9     5       0.8000000       0.8780488       0.8372093
         3    26    32    46       0.4482759       0.3611111       0.4000000
         4    37    46    44       0.4457831       0.4567901       0.4512195
         5    52    14    31       0.7878788       0.6265060       0.6979866
         6    64    31    28       0.6736842       0.6956522       0.6844920
         7    44    52    39       0.4583333       0.5301205       0.4916201
         8    70    39    31       0.6422018       0.6930693       0.6666667
         9    55    35    45       0.6111111       0.5500000       0.5789474
        10    75    36    36       0.6756757       0.6756757       0.6756757
        11    43    33    21       0.5657895       0.6718750       0.6142857
        12    16    33    32       0.3265306       0.3333333       0.3298969
        13    53    26    33       0.6708861       0.6162791       0.6424242
        14    66    27    14       0.7096774       0.8250000       0.7630058
        15    33    16    39       0.6734694       0.4583333       0.5454545
        16    65    65    51       0.5000000       0.5603448       0.5284553
        17    51    21    24       0.7083333       0.6800000       0.6938776
 MICRO-AVG   884   548   548       0.6173184       0.6173184       0.6173184
 MACRO-AVG                         0.6144542       0.6108113       0.6094651
