     CLASS    TP    FP    FN            PREC             REC              F1
         1   116   248    11       0.3186813       0.9133858       0.4725051
         2    32     3     9       0.9142857       0.7804878       0.8421053
         3     6     4    66       0.6000000       0.0833333       0.1463415
         4     7     6    74       0.5384615       0.0864198       0.1489362
         5    49     9    34       0.8448276       0.5903614       0.6950355
         6    71    29    21       0.7100000       0.7717391       0.7395833
         7    55    81    28       0.4044118       0.6626506       0.5022831
         8    65    43    36       0.6018519       0.6435644       0.6220096
         9    48    19    52       0.7164179       0.4800000       0.5748503
        10    76    28    35       0.7307692       0.6846847       0.7069767
        11    37    15    27       0.7115385       0.5781250       0.6379310
        12     6     1    42       0.8571429       0.1250000       0.2181818
        13    49    10    37       0.8305085       0.5697674       0.6758621
        14    61    14    19       0.8133333       0.7625000       0.7870968
        15    12     4    60       0.7500000       0.1666667       0.2727273
        16    80    98    36       0.4494382       0.6896552       0.5442177
        17    40    10    35       0.8000000       0.5333333       0.6400000
 MICRO-AVG   810   622   622       0.5656425       0.5656425       0.5656425
 MACRO-AVG                         0.6818628       0.5365691       0.5427437
