     CLASS    TP    FP    FN            PREC             REC              F1
         1   112    71    15       0.6120219       0.8818898       0.7225806
         2    39    19     2       0.6724138       0.9512195       0.7878788
         3    10    17    62       0.3703704       0.1388889       0.2020202
         4    26    19    55       0.5777778       0.3209877       0.4126984
         5    55    21    28       0.7236842       0.6626506       0.6918239
         6    77    38    15       0.6695652       0.8369565       0.7439614
         7    54    38    29       0.5869565       0.6506024       0.6171429
         8    69    43    32       0.6160714       0.6831683       0.6478873
         9    48    26    52       0.6486486       0.4800000       0.5517241
        10    82    35    29       0.7008547       0.7387387       0.7192982
        11    44    27    20       0.6197183       0.6875000       0.6518519
        12    16    14    32       0.5333333       0.3333333       0.4102564
        13    58    35    28       0.6236559       0.6744186       0.6480447
        14    68    43    12       0.6126126       0.8500000       0.7120419
        15    31    16    41       0.6595745       0.4305556       0.5210084
        16    58    49    58       0.5420561       0.5000000       0.5201794
        17    49    25    26       0.6621622       0.6533333       0.6577181
 MICRO-AVG   896   536   536       0.6256983       0.6256983       0.6256983
 MACRO-AVG                         0.6136163       0.6161320       0.6010657
