     CLASS    TP    FP    FN            PREC             REC              F1
         1   116   221    11       0.3442136       0.9133858       0.5000000
         2    30     2    11       0.9375000       0.7317073       0.8219178
         3     3     3    69       0.5000000       0.0416667       0.0769231
         4    15    10    66       0.6000000       0.1851852       0.2830189
         5    52    10    31       0.8387097       0.6265060       0.7172414
         6    72    35    20       0.6728972       0.7826087       0.7236181
         7    58   106    25       0.3536585       0.6987952       0.4696356
         8    59    33    42       0.6413043       0.5841584       0.6113990
         9    53    39    47       0.5760870       0.5300000       0.5520833
        10    74    28    37       0.7254902       0.6666667       0.6948357
        11    38    15    26       0.7169811       0.5937500       0.6495726
        12     5     0    43       1.0000000       0.1041667       0.1886792
        13    31     6    55       0.8378378       0.3604651       0.5040650
        14    65    19    15       0.7738095       0.8125000       0.7926829
        15     3     2    69       0.6000000       0.0416667       0.0779221
        16    76    95    40       0.4444444       0.6551724       0.5296167
        17    43    15    32       0.7413793       0.5733333       0.6466165
 MICRO-AVG   793   639   639       0.5537709       0.5537709       0.5537709
 MACRO-AVG                         0.6649596       0.5236314       0.5199899
