     CLASS    TP    FP    FN            PREC             REC              F1
         1   111    64    16       0.6342857       0.8740157       0.7350993
         2    39    21     2       0.6500000       0.9512195       0.7722772
         3    10    20    62       0.3333333       0.1388889       0.1960784
         4    25    22    56       0.5319149       0.3086420       0.3906250
         5    53    24    30       0.6883117       0.6385542       0.6625000
         6    75    32    17       0.7009346       0.8152174       0.7537688
         7    53    46    30       0.5353535       0.6385542       0.5824176
         8    70    61    31       0.5343511       0.6930693       0.6034483
         9    50    27    50       0.6493506       0.5000000       0.5649718
        10    82    46    29       0.6406250       0.7387387       0.6861925
        11    42    34    22       0.5526316       0.6562500       0.6000000
        12    17    19    31       0.4722222       0.3541667       0.4047619
        13    54    21    32       0.7200000       0.6279070       0.6708075
        14    67    38    13       0.6380952       0.8375000       0.7243243
        15    28    15    44       0.6511628       0.3888889       0.4869565
        16    53    40    63       0.5698925       0.4568966       0.5071770
        17    50    23    25       0.6849315       0.6666667       0.6756757
 MICRO-AVG   879   553   553       0.6138268       0.6138268       0.6138268
 MACRO-AVG                         0.5992586       0.6050103       0.5892401
