     CLASS    TP    FP    FN            PREC             REC              F1
         1   108    40    19       0.7297297       0.8503937       0.7854545
         2    36     9     5       0.8000000       0.8780488       0.8372093
         3    25    25    47       0.5000000       0.3472222       0.4098361
         4    43    34    38       0.5584416       0.5308642       0.5443038
         5    51    12    32       0.8095238       0.6144578       0.6986301
         6    74    29    18       0.7184466       0.8043478       0.7589744
         7    52    45    31       0.5360825       0.6265060       0.5777778
         8    74    45    27       0.6218487       0.7326733       0.6727273
         9    55    36    45       0.6043956       0.5500000       0.5759162
        10    87    30    24       0.7435897       0.7837838       0.7631579
        11    47    28    17       0.6266667       0.7343750       0.6762590
        12    19    27    29       0.4130435       0.3958333       0.4042553
        13    62    27    24       0.6966292       0.7209302       0.7085714
        14    65    18    15       0.7831325       0.8125000       0.7975460
        15    31    14    41       0.6888889       0.4305556       0.5299145
        16    71    53    45       0.5725806       0.6120690       0.5916667
        17    45    15    30       0.7500000       0.6000000       0.6666667
 MICRO-AVG   945   487   487       0.6599162       0.6599162       0.6599162
 MACRO-AVG                         0.6560588       0.6485036       0.6469922
