     CLASS    TP    FP    FN            PREC             REC              F1
         1   101    31    26       0.7651515       0.7952756       0.7799228
         2    36     9     5       0.8000000       0.8780488       0.8372093
         3    26    31    46       0.4561404       0.3611111       0.4031008
         4    37    47    44       0.4404762       0.4567901       0.4484848
         5    52    13    31       0.8000000       0.6265060       0.7027027
         6    64    31    28       0.6736842       0.6956522       0.6844920
         7    44    51    39       0.4631579       0.5301205       0.4943820
         8    70    39    31       0.6422018       0.6930693       0.6666667
         9    55    35    45       0.6111111       0.5500000       0.5789474
        10    75    38    36       0.6637168       0.6756757       0.6696429
        11    43    33    21       0.5657895       0.6718750       0.6142857
        12    16    33    32       0.3265306       0.3333333       0.3298969
        13    53    26    33       0.6708861       0.6162791       0.6424242
        14    66    27    14       0.7096774       0.8250000       0.7630058
        15    33    16    39       0.6734694       0.4583333       0.5454545
        16    65    64    51       0.5038760       0.5603448       0.5306122
        17    51    21    24       0.7083333       0.6800000       0.6938776
 MICRO-AVG   887   545   545       0.6194134       0.6194134       0.6194134
 MACRO-AVG                         0.6161295       0.6122009       0.6108887
