     CLASS    TP    FP    FN            PREC             REC              F1
         1   113    71    14       0.6141304       0.8897638       0.7266881
         2    39    19     2       0.6724138       0.9512195       0.7878788
         3    11    17    61       0.3928571       0.1527778       0.2200000
         4    25    18    56       0.5813953       0.3086420       0.4032258
         5    55    22    28       0.7142857       0.6626506       0.6875000
         6    77    38    15       0.6695652       0.8369565       0.7439614
         7    54    42    29       0.5625000       0.6506024       0.6033520
         8    69    42    32       0.6216216       0.6831683       0.6509434
         9    47    26    53       0.6438356       0.4700000       0.5433526
        10    82    34    29       0.7068966       0.7387387       0.7224670
        11    44    27    20       0.6197183       0.6875000       0.6518519
        12    15    12    33       0.5555556       0.3125000       0.4000000
        13    57    35    29       0.6195652       0.6627907       0.6404494
        14    67    43    13       0.6090909       0.8375000       0.7052632
        15    31    17    41       0.6458333       0.4305556       0.5166667
        16    58    50    58       0.5370370       0.5000000       0.5178571
        17    49    26    26       0.6533333       0.6533333       0.6533333
 MICRO-AVG   893   539   539       0.6236034       0.6236034       0.6236034
 MACRO-AVG                         0.6129197       0.6134529       0.5985171
