     CLASS    TP    FP    FN            PREC             REC              F1
         1   114   164    13       0.4100719       0.8976378       0.5629630
         2    32     3     9       0.9142857       0.7804878       0.8421053
         3     7     6    65       0.5384615       0.0972222       0.1647059
         4    18    12    63       0.6000000       0.2222222       0.3243243
         5    53    10    30       0.8412698       0.6385542       0.7260274
         6    74    40    18       0.6491228       0.8043478       0.7184466
         7    58    97    25       0.3741935       0.6987952       0.4873950
         8    61    36    40       0.6288660       0.6039604       0.6161616
         9    54    37    46       0.5934066       0.5400000       0.5654450
        10    81    31    30       0.7232143       0.7297297       0.7264574
        11    43    20    21       0.6825397       0.6718750       0.6771654
        12     7     4    41       0.6363636       0.1458333       0.2372881
        13    36     9    50       0.8000000       0.4186047       0.5496183
        14    66    20    14       0.7674419       0.8250000       0.7951807
        15     7     3    65       0.7000000       0.0972222       0.1707317
        16    78    88    38       0.4698795       0.6724138       0.5531915
        17    45    18    30       0.7142857       0.6000000       0.6521739
 MICRO-AVG   834   598   598       0.5824022       0.5824022       0.5824022
 MACRO-AVG                         0.6496119       0.5555239       0.5511401
